test_group,test_group_name,ensemble_r2,ensemble_spearman,ensemble_pearson,num_ensembles,num_test_samples
0,fold 1,0.3660217895254453,0.5941054977581527,0.6060401398737933,7,71419
1,fold 2,0.6308115232562945,0.8044235140251766,0.8020915162695119,7,8137
2,fold 3,0.5860106066386859,0.7427492213113195,0.766293797832629,7,6809
