metric,bootstrap_iterations,finite_iterations,model_ci_low,model_ci_high,baseline_ci_low,baseline_ci_high,delta_model_minus_baseline,delta_ci_low,delta_ci_high,paired_bootstrap_probability_delta_le_zero,protocol,group,cohort,measurements,unique_molecules
r2,2000,2000,-0.04289207754391285,0.06024000673169154,-0.12398406360054873,-0.07354178892099872,0.10938016291128862,0.05979716184515097,0.1559296501789896,0.0,phylum,all_groups_pooled,train_unseen,6515,3491
spearman,2000,2000,0.29297322891695937,0.3686065392739848,0.0898337549573322,0.16665074779061745,0.20298529121468567,0.1560601129198608,0.24655716988866325,0.0,phylum,all_groups_pooled,train_unseen,6515,3491
pearson,2000,2000,0.3000938830299566,0.37424105166472454,0.08179673271396262,0.15931247811736296,0.2174454443706096,0.16845077067692504,0.2638968592454884,0.0,phylum,all_groups_pooled,train_unseen,6515,3491
