metric,bootstrap_iterations,finite_iterations,model_ci_low,model_ci_high,baseline_ci_low,baseline_ci_high,delta_model_minus_baseline,delta_ci_low,delta_ci_high,paired_bootstrap_probability_delta_le_zero,protocol,group,cohort,measurements,unique_molecules
r2,2000,2000,0.06243336906329239,0.11207411535788492,-0.06265051503904502,-0.04189111862437706,0.13953797823228398,0.11610660105080903,0.1628504760931989,0.0,strain,all_groups_pooled,train_unseen,26272,8259
spearman,2000,2000,0.38642106832304524,0.41983286557754335,-0.026008242364781175,0.0004948911618536954,0.4154919140835931,0.3943711240200484,0.437107170415414,0.0,strain,all_groups_pooled,train_unseen,26272,8259
pearson,2000,2000,0.3916440825252037,0.426593319363178,-0.01084181224960117,0.015384350238565738,0.4061880112988219,0.38512509819053775,0.42755744126880707,0.0,strain,all_groups_pooled,train_unseen,26272,8259
