left_candidate_row,right_candidate_row,tanimoto
1,2,0.027777777777777776
1,3,0.5740740740740741
1,4,0.2670157068062827
1,5,0.6993865030674846
1,6,0.3263157894736842
1,7,0.3314917127071823
1,8,0.4805194805194805
1,9,0.5705521472392638
1,10,0.3597560975609756
1,11,0.66875
1,12,0.2878787878787879
1,13,0.39759036144578314
1,14,0.2878787878787879
1,15,0.40606060606060607
1,16,0.44642857142857145
1,17,0.6787878787878788
1,18,0.5227272727272727
1,19,0.39880952380952384
1,20,0.69375
1,21,0.358974358974359
1,22,0.3383838383838384
1,23,0.3283582089552239
1,24,0.32515337423312884
1,25,0.2972972972972973
1,26,0.3526315789473684
1,27,0.7450980392156863
1,28,0.2205128205128205
1,29,0.2205128205128205
1,30,0.5616438356164384
1,31,0.3621621621621622
1,32,0.660377358490566
1,33,0.5947712418300654
1,34,0.25
1,35,0.6143790849673203
1,36,0.6428571428571429
1,37,0.6241610738255033
1,38,0.47560975609756095
1,39,0.6075949367088608
1,40,0.6666666666666666
1,41,0.3005464480874317
1,42,0.6554054054054054
1,43,0.6878980891719745
1,44,0.6772151898734177
1,45,0.5310344827586206
1,46,0.5365853658536586
1,47,0.6625
1,48,0.7350993377483444
1,49,0.5116279069767442
1,50,0.558282208588957
1,51,0.345679012345679
1,52,0.29896907216494845
1,53,0.37823834196891193
1,54,0.7974683544303798
1,55,0.3333333333333333
1,56,0.4125
1,57,0.6516129032258065
1,58,0.33658536585365856
1,59,0.6666666666666666
1,60,0.5421686746987951
1,61,0.6381578947368421
1,62,0.5214723926380368
1,63,0.463855421686747
1,64,0.44171779141104295
1,65,0.4397590361445783
1,66,0.38271604938271603
1,67,0.315
1,68,0.5333333333333333
1,69,0.7935483870967742
1,70,0.3793103448275862
1,71,0.41975308641975306
1,72,0.5962732919254659
1,73,0.5414012738853503
2,3,0.03305785123966942
2,4,0.04672897196261682
2,5,0.035211267605633804
2,6,0.042735042735042736
2,7,0.07766990291262135
2,8,0.031578947368421054
2,9,0.024390243902439025
2,10,0.02197802197802198
2,11,0.03787878787878788
2,12,0.06837606837606838
2,13,0.030303030303030304
2,14,0.06837606837606838
2,15,0.030303030303030304
2,16,0.02727272727272727
2,17,0.035211267605633804
2,18,0.029850746268656716
2,19,0.019417475728155338
2,20,0.03676470588235294
2,21,0.025
2,22,0.06299212598425197
2,23,0.03007518796992481
2,24,0.023809523809523808
2,25,0.0784313725490196
2,26,0.040983606557377046
2,27,0.03787878787878788
2,28,0.08
2,29,0.08
2,30,0.031578947368421054
2,31,0.03389830508474576
2,32,0.03076923076923077
2,33,0.03636363636363636
2,34,0.04395604395604396
2,35,0.035398230088495575
2,36,0.025
2,37,0.027522935779816515
2,38,0.027522935779816515
2,39,0.03333333333333333
2,40,0.037037037037037035
2,41,0.038461538461538464
2,42,0.026785714285714284
2,43,0.022727272727272728
2,44,0.022727272727272728
2,45,0.033707865168539325
2,46,0.03389830508474576
2,47,0.030303030303030304
2,48,0.03937007874015748
2,49,0.031746031746031744
2,50,0.03333333333333333
2,51,0.023255813953488372
2,52,0.07017543859649122
2,53,0.03816793893129771
2,54,0.02666666666666667
2,55,0.07017543859649122
2,56,0.010526315789473684
2,57,0.03278688524590164
2,58,0.058823529411764705
2,59,0.030534351145038167
2,60,0.03278688524590164
2,61,0.034782608695652174
2,62,0.03508771929824561
2,63,0.02727272727272727
2,64,0.029411764705882353
2,65,0.02830188679245283
2,66,0.03296703296703297
2,67,0.064
2,68,0.025
2,69,0.027777777777777776
2,70,0.034482758620689655
2,71,0.02040816326530612
2,72,0.032520325203252036
2,73,0.037037037037037035
3,4,0.16489361702127658
3,5,0.6387096774193548
3,6,0.2722222222222222
3,7,0.23863636363636365
3,8,0.4642857142857143
3,9,0.47468354430379744
3,10,0.22699386503067484
3,11,0.4878048780487805
3,12,0.22105263157894736
3,13,0.31446540880503143
3,14,0.22105263157894736
3,15,0.30625
3,16,0.375
3,17,0.5209580838323353
3,18,0.3687150837988827
3,19,0.325
3,20,0.559748427672956
3,21,0.2857142857142857
3,22,0.22842639593908629
3,23,0.22613065326633167
3,24,0.26973684210526316
3,25,0.20555555555555555
3,26,0.3
3,27,0.525
3,28,0.1813186813186813
3,29,0.1813186813186813
3,30,0.4236111111111111
3,31,0.25824175824175827
3,32,0.535031847133758
3,33,0.4258064516129032
3,34,0.20238095238095238
3,35,0.46405228758169936
3,36,0.4375
3,37,0.4407894736842105
3,38,0.3353658536585366
3,39,0.4620253164556962
3,40,0.5060975609756098
3,41,0.2011173184357542
3,42,0.3619631901840491
3,43,0.49382716049382713
3,44,0.49382716049382713
3,45,0.42142857142857143
3,46,0.3878787878787879
3,47,0.49079754601226994
3,48,0.484472049689441
3,49,0.42771084337349397
3,50,0.44375
3,51,0.28289473684210525
3,52,0.21164021164021163
3,53,0.2789473684210526
3,54,0.6415094339622641
3,55,0.20526315789473684
3,56,0.2848101265822785
3,57,0.45625
3,58,0.2676767676767677
3,59,0.48466257668711654
3,60,0.4294478527607362
3,61,0.5066666666666667
3,62,0.40625
3,63,0.31736526946107785
3,64,0.27710843373493976
3,65,0.32515337423312884
3,66,0.3581081081081081
3,67,0.20603015075376885
3,68,0.42857142857142855
3,69,0.5454545454545454
3,70,0.2722772277227723
3,71,0.2621951219512195
3,72,0.4268292682926829
3,73,0.37735849056603776
4,5,0.19900497512437812
4,6,0.5
4,7,0.4041095890410959
4,8,0.1497005988023952
4,9,0.2154696132596685
4,10,0.147239263803681
4,11,0.2222222222222222
4,12,0.4697986577181208
4,13,0.15976331360946747
4,14,0.4697986577181208
4,15,0.18787878787878787
4,16,0.1564245810055866
4,17,0.2422680412371134
4,18,0.23404255319148937
4,19,0.13714285714285715
4,20,0.211340206185567
4,21,0.1503267973856209
4,22,0.5684931506849316
4,23,0.2222222222222222
4,24,0.1464968152866242
4,25,0.48905109489051096
4,26,0.6014492753623188
4,27,0.23529411764705882
4,28,0.3202614379084967
4,29,0.3202614379084967
4,30,0.20754716981132076
4,31,0.5
4,32,0.2127659574468085
4,33,0.19540229885057472
4,34,0.44274809160305345
4,35,0.2485207100591716
4,36,0.23295454545454544
4,37,0.24096385542168675
4,38,0.21176470588235294
4,39,0.21787709497206703
4,40,0.225130890052356
4,41,0.5905511811023622
4,42,0.24404761904761904
4,43,0.21808510638297873
4,44,0.21808510638297873
4,45,0.2236842105263158
4,46,0.2558139534883721
4,47,0.22340425531914893
4,48,0.2768361581920904
4,49,0.18518518518518517
4,50,0.23163841807909605
4,51,0.14465408805031446
4,52,0.5
4,53,0.5862068965517241
4,54,0.24
4,55,0.5428571428571428
4,56,0.1377245508982036
4,57,0.24293785310734464
4,58,0.5256410256410257
4,59,0.23118279569892472
4,60,0.2087912087912088
4,61,0.22413793103448276
4,62,0.17777777777777778
4,63,0.19653179190751446
4,64,0.19879518072289157
4,65,0.19411764705882353
4,66,0.18238993710691823
4,67,0.5133333333333333
4,68,0.20555555555555555
4,69,0.2538860103626943
4,70,0.5641025641025641
4,71,0.14792899408284024
4,72,0.20765027322404372
4,73,0.21176470588235294
5,6,0.32105263157894737
5,7,0.2765957446808511
5,8,0.48366013071895425
5,9,0.5269461077844312
5,10,0.37888198757763975
5,11,0.6419753086419753
5,12,0.27638190954773867
5,13,0.4620253164556962
5,14,0.27638190954773867
5,15,0.4713375796178344
5,16,0.5125
5,17,0.6428571428571429
5,18,0.5523255813953488
5,19,0.4625
5,20,0.6981132075471698
5,21,0.36129032258064514
5,22,0.2815533980582524
5,23,0.31683168316831684
5,24,0.34375
5,25,0.2578947368421053
5,26,0.2864321608040201
5,27,0.6121212121212121
5,28,0.22164948453608246
5,29,0.22164948453608246
5,30,0.5874125874125874
5,31,0.28061224489795916
5,32,0.6967741935483871
5,33,0.62
5,34,0.22404371584699453
5,35,0.5769230769230769
5,36,0.5365853658536586
5,37,0.5157232704402516
5,38,0.50625
5,39,0.58125
5,40,0.6107784431137725
5,41,0.24736842105263157
5,42,0.554140127388535
5,43,0.6196319018404908
5,44,0.6296296296296297
5,45,0.46357615894039733
5,46,0.56875
5,47,0.65625
5,48,0.5818181818181818
5,49,0.5325443786982249
5,50,0.6644736842105263
5,51,0.3821656050955414
5,52,0.24875621890547264
5,53,0.29901960784313725
5,54,0.76875
5,55,0.2613065326633166
5,56,0.3888888888888889
5,57,0.5838509316770186
5,58,0.3125
5,59,0.6
5,60,0.6037735849056604
5,61,0.47619047619047616
5,62,0.4879518072289157
5,63,0.5316455696202531
5,64,0.4625
5,65,0.4691358024691358
5,66,0.41139240506329117
5,67,0.26570048309178745
5,68,0.5460122699386503
5,69,0.6586826347305389
5,70,0.3160377358490566
5,71,0.41358024691358025
5,72,0.5515151515151515
5,73,0.50625
6,7,0.5034965034965035
6,8,0.20238095238095238
6,9,0.2994350282485876
6,10,0.13872832369942195
6,11,0.22959183673469388
6,12,0.5793103448275863
6,13,0.15083798882681565
6,14,0.5793103448275863
6,15,0.17714285714285713
6,16,0.14814814814814814
6,17,0.3422459893048128
6,18,0.2604166666666667
6,19,0.12972972972972974
6,20,0.28272251308900526
6,21,0.11377245508982035
6,22,0.6258503401360545
6,23,0.19900497512437812
6,24,0.09826589595375723
6,25,0.4657534246575342
6,26,0.6739130434782609
6,27,0.3241758241758242
6,28,0.43243243243243246
6,29,0.43243243243243246
6,30,0.27848101265822783
6,31,0.5586206896551724
6,32,0.26595744680851063
6,33,0.345679012345679
6,34,0.592
6,35,0.2346368715083799
6,36,0.32748538011695905
6,37,0.3090909090909091
6,38,0.18032786885245902
6,39,0.26666666666666666
6,40,0.31891891891891894
6,41,0.46206896551724136
6,42,0.24431818181818182
6,43,0.30601092896174864
6,44,0.30601092896174864
6,45,0.20987654320987653
6,46,0.22826086956521738
6,47,0.30434782608695654
6,48,0.2620320855614973
6,49,0.2717391304347826
6,50,0.2127659574468085
6,51,0.09714285714285714
6,52,0.4868421052631579
6,53,0.6326530612244898
6,54,0.32989690721649484
6,55,0.5167785234899329
6,56,0.12994350282485875
6,57,0.27071823204419887
6,58,0.6756756756756757
6,59,0.26455026455026454
6,60,0.21693121693121692
6,61,0.2185792349726776
6,62,0.2
6,63,0.1793478260869565
6,64,0.17415730337078653
6,65,0.15135135135135136
6,66,0.14450867052023122
6,67,0.5192307692307693
6,68,0.22043010752688172
6,69,0.2727272727272727
6,70,0.7638888888888888
6,71,0.13966480446927373
6,72,0.19072164948453607
6,73,0.2342857142857143
7,8,0.23225806451612904
7,9,0.31137724550898205
7,10,0.14814814814814814
7,11,0.2849162011173184
7,12,0.4931506849315068
7,13,0.18181818181818182
7,14,0.4931506849315068
7,15,0.16766467065868262
7,16,0.14444444444444443
7,17,0.3333333333333333
7,18,0.2692307692307692
7,19,0.13793103448275862
7,20,0.32954545454545453
7,21,0.12179487179487179
7,22,0.52
7,23,0.15577889447236182
7,24,0.11875
7,25,0.549618320610687
7,26,0.6058394160583942
7,27,0.3609467455621302
7,28,0.7033898305084746
7,29,0.7033898305084746
7,30,0.26490066225165565
7,31,0.6165413533834586
7,32,0.22702702702702704
7,33,0.3269230769230769
7,34,0.5409836065573771
7,35,0.2727272727272727
7,36,0.3670886075949367
7,37,0.34868421052631576
7,38,0.1781609195402299
7,39,0.3231707317073171
7,40,0.3468208092485549
7,41,0.5703125
7,42,0.2919254658385093
7,43,0.3411764705882353
7,44,0.3411764705882353
7,45,0.2012987012987013
7,46,0.1878453038674033
7,47,0.34705882352941175
7,48,0.2569832402234637
7,49,0.2388888888888889
7,50,0.1793478260869565
7,51,0.11728395061728394
7,52,0.5357142857142857
7,53,0.624113475177305
7,54,0.32085561497326204
7,55,0.5925925925925926
7,56,0.1317365269461078
7,57,0.32727272727272727
7,58,0.6013513513513513
7,59,0.3103448275862069
7,60,0.16489361702127658
7,61,0.23976608187134502
7,62,0.192090395480226
7,63,0.15730337078651685
7,64,0.16470588235294117
7,65,0.12849162011173185
7,66,0.16149068322981366
7,67,0.6617647058823529
7,68,0.16129032258064516
7,69,0.26842105263157895
7,70,0.62
7,71,0.14201183431952663
7,72,0.1827956989247312
7,73,0.2275449101796407
8,9,0.3464052287581699
8,10,0.49137931034482757
8,11,0.5174825174825175
8,12,0.2275449101796407
8,13,0.5555555555555556
8,14,0.2275449101796407
8,15,0.5826086956521739
8,16,0.49612403100775193
8,17,0.32748538011695905
8,18,0.379746835443038
8,19,0.5677966101694916
8,20,0.49324324324324326
8,21,0.39655172413793105
8,22,0.22857142857142856
8,23,0.27647058823529413
8,24,0.5370370370370371
8,25,0.22580645161290322
8,26,0.21052631578947367
8,27,0.3821656050955414
8,28,0.2702702702702703
8,29,0.2702702702702703
8,30,0.6036036036036037
8,31,0.22424242424242424
8,32,0.6212121212121212
8,33,0.4264705882352941
8,34,0.2589928057553957
8,35,0.5511811023622047
8,36,0.4097222222222222
8,37,0.381294964028777
8,38,0.6271186440677966
8,39,0.4068965517241379
8,40,0.36645962732919257
8,41,0.22875816993464052
8,42,0.39285714285714285
8,43,0.4726027397260274
8,44,0.4726027397260274
8,45,0.3983739837398374
8,46,0.463768115942029
8,47,0.4896551724137931
8,48,0.39473684210526316
8,49,0.5441176470588235
8,50,0.5223880597014925
8,51,0.5412844036697247
8,52,0.21686746987951808
8,53,0.20670391061452514
8,54,0.43558282208588955
8,55,0.2546583850931677
8,56,0.6
8,57,0.4714285714285714
8,58,0.22404371584699453
8,59,0.5034965034965035
8,60,0.4714285714285714
8,61,0.35374149659863946
8,62,0.6229508196721312
8,63,0.5950413223140496
8,64,0.5546218487394958
8,65,0.5241935483870968
8,66,0.5263157894736842
8,67,0.24561403508771928
8,68,0.49264705882352944
8,69,0.49019607843137253
8,70,0.21693121693121692
8,71,0.5254237288135594
8,72,0.5109489051094891
8,73,0.5609756097560976
9,10,0.3223684210526316
9,11,0.4411764705882353
9,12,0.2198952879581152
9,13,0.3375796178343949
9,14,0.2198952879581152
9,15,0.3291139240506329
9,16,0.22099447513812154
9,17,0.6346153846153846
9,18,0.5769230769230769
9,19,0.33962264150943394
9,20,0.4476744186046512
9,21,0.35714285714285715
9,22,0.2789473684210526
9,23,0.1951219512195122
9,24,0.29333333333333333
9,25,0.2976190476190476
9,26,0.327683615819209
9,27,0.53125
9,28,0.19337016574585636
9,29,0.19337016574585636
9,30,0.4714285714285714
9,31,0.3609467455621302
9,32,0.4152046783625731
9,33,0.6691729323308271
9,34,0.23030303030303031
9,35,0.5845070422535211
9,36,0.7238805970149254
9,37,0.7054263565891473
9,38,0.35802469135802467
9,39,0.6223776223776224
9,40,0.5796178343949044
9,41,0.2934131736526946
9,42,0.5379310344827586
9,43,0.7482014388489209
9,44,0.7357142857142858
9,45,0.28205128205128205
9,46,0.3142857142857143
9,47,0.5844155844155844
9,48,0.5286624203821656
9,49,0.4968553459119497
9,50,0.3333333333333333
9,51,0.2727272727272727
9,52,0.2994350282485876
9,53,0.34065934065934067
9,54,0.6477987421383647
9,55,0.2849162011173184
9,56,0.2911392405063291
9,57,0.6595744680851063
9,58,0.2537313432835821
9,59,0.62
9,60,0.3448275862068966
9,61,0.48366013071895425
9,62,0.42138364779874216
9,63,0.3558282208588957
9,64,0.3741935483870968
9,65,0.3821656050955414
9,66,0.3741496598639456
9,67,0.2751322751322751
9,68,0.3508771929824561
9,69,0.5515151515151515
9,70,0.32989690721649484
9,71,0.2682926829268293
9,72,0.3128491620111732
9,73,0.4965986394557823
10,11,0.43243243243243246
10,12,0.13636363636363635
10,13,0.7184466019417476
10,14,0.13636363636363635
10,15,0.7019230769230769
10,16,0.5666666666666667
10,17,0.3058823529411765
10,18,0.3741935483870968
10,19,0.7307692307692307
10,20,0.3670886075949367
10,21,0.6020408163265306
10,22,0.15384615384615385
10,23,0.3167701863354037
10,24,0.6262626262626263
10,25,0.12804878048780488
10,26,0.1348314606741573
10,27,0.40397350993377484
10,28,0.18064516129032257
10,29,0.18064516129032257
10,30,0.36220472440944884
10,31,0.13218390804597702
10,32,0.4315068493150685
10,33,0.44274809160305345
10,34,0.18055555555555555
10,35,0.4117647058823529
10,36,0.375
10,37,0.3357142857142857
10,38,0.6403508771929824
10,39,0.35374149659863946
10,40,0.3961038961038961
10,41,0.12962962962962962
10,42,0.4074074074074074
10,43,0.40939597315436244
10,44,0.4
10,45,0.35772357723577236
10,46,0.5511811023622047
10,47,0.37012987012987014
10,48,0.35294117647058826
10,49,0.4748201438848921
10,50,0.5307692307692308
10,51,0.6632653061224489
10,52,0.13218390804597702
10,53,0.12834224598930483
10,54,0.3391812865497076
10,55,0.1588235294117647
10,56,0.7628865979381443
10,57,0.4154929577464789
10,58,0.140625
10,59,0.40939597315436244
10,60,0.5581395348837209
10,61,0.38571428571428573
10,62,0.4846153846153846
10,63,0.7247706422018348
10,64,0.7307692307692307
10,65,0.6576576576576577
10,66,0.5089285714285714
10,67,0.16201117318435754
10,68,0.5230769230769231
10,69,0.4025157232704403
10,70,0.14795918367346939
10,71,0.7676767676767676
10,72,0.5538461538461539
10,73,0.5203252032520326
11,12,0.25773195876288657
11,13,0.6014492753623188
11,14,0.25773195876288657
11,15,0.48322147651006714
11,16,0.5782312925170068
11,17,0.5739644970414202
11,18,0.5962732919254659
11,19,0.4267515923566879
11,20,0.7449664429530202
11,21,0.3767123287671233
11,22,0.29591836734693877
11,23,0.29949238578680204
11,24,0.3945578231292517
11,25,0.27932960893854747
11,26,0.27461139896373055
11,27,0.695364238410596
11,28,0.22702702702702704
11,29,0.22702702702702704
11,30,0.528169014084507
11,31,0.24870466321243523
11,32,0.6428571428571429
11,33,0.47468354430379744
11,34,0.2441860465116279
11,35,0.6619718309859155
11,36,0.5316455696202531
11,37,0.4620253164556962
11,38,0.5298013245033113
11,39,0.577922077922078
11,40,0.6496815286624203
11,41,0.2752808988764045
11,42,0.5294117647058824
11,43,0.577639751552795
11,44,0.5679012345679012
11,45,0.5071428571428571
11,46,0.50625
11,47,0.6139240506329114
11,48,0.6298701298701299
11,49,0.5182926829268293
11,50,0.609271523178808
11,51,0.38926174496644295
11,52,0.2617801047120419
11,53,0.26865671641791045
11,54,0.6153846153846154
11,55,0.2887700534759358
11,56,0.43333333333333335
11,57,0.5506329113924051
11,58,0.2347417840375587
11,59,0.5974842767295597
11,60,0.5806451612903226
11,61,0.5555555555555556
11,62,0.5290322580645161
11,63,0.5064935064935064
11,64,0.46405228758169936
11,65,0.46153846153846156
11,66,0.4589041095890411
11,67,0.2727272727272727
11,68,0.5031055900621118
11,69,0.756578947368421
11,70,0.28095238095238095
11,71,0.43137254901960786
11,72,0.5769230769230769
11,73,0.49032258064516127
12,13,0.17415730337078653
12,14,1.0
12,15,0.19428571428571428
12,16,0.17647058823529413
12,17,0.27638190954773867
12,18,0.2564102564102564
