species,atcc_number,accepted_name,strain_designation,biosafety_level,has_genome,genome_url,type_strain,web_available,isolation_source,category
Morganella morganii,51202,Morganella morganii subsp. morganii,CDC 1939-76,BSL 2,True,https://genomes.atcc.org/genomes/fc232533a13b4e4c,False,True,Urine,Bacteria
Morganella morganii,51203,Morganella morganii subsp. morganii,CDC 1427-73 [73-406],BSL 2,True,https://genomes.atcc.org/genomes/b696c5a67657434a,False,True,Sputum,Bacteria
Morganella morganii,49994,Morganella morganii subsp. morganii,10109,BSL 2,True,https://genomes.atcc.org/genomes/ef8c890110ba4026,False,True,Patient with chronic struvite urolithiasis,Bacteria
Morganella morganii,49993,Morganella morganii subsp. morganii,8066,BSL 2,True,https://genomes.atcc.org/genomes/f3a7fa922493462d,False,True,Patient with chronic struvite urolithiasis,Bacteria
Morganella morganii,49991,Morganella morganii subsp. morganii,7650,BSL 2,True,https://genomes.atcc.org/genomes/f2b267a2d0f44b2d,False,True,Patient with chronic struvite urolithiasis,Bacteria
Morganella morganii,49992,Morganella morganii subsp. morganii,2854-3,BSL 2,True,https://genomes.atcc.org/genomes/c715284e1fd04810,False,True,Patient with chronic struvite urolithiasis,Bacteria
Morganella morganii,51596,Morganella morganii subsp. sibonii,B2,BSL 2,True,https://genomes.atcc.org/genomes/e2c3b5f266054854,False,True,Nitramine explosive-contaminated soil,Bacteria
Morganella morganii,51205,Morganella morganii subsp. sibonii,CDC 8263-91 [AB 2429],BSL 2,True,https://genomes.atcc.org/genomes/763cb65eee6d42a0,False,True,Wound,Bacteria
Morganella morganii,51206,Morganella morganii subsp. sibonii,CDC 3522-75 [RB 2405],BSL 2,True,https://genomes.atcc.org/genomes/3155992001d14159,False,True,Urine,Bacteria
Morganella morganii,51207,Morganella morganii subsp. sibonii,CDC 8246-91 [44031/66],BSL 2,True,https://genomes.atcc.org/genomes/202deb3a3ffc4bb2,False,True,Pus,Bacteria
Morganella morganii,49948,Morganella morganii subsp. sibonii,"CDC 8103-85 [AB 2048, DSM 14850]",BSL 2,True,https://genomes.atcc.org/genomes/777220bfbe1d48f9,True,True,Sputum,Bacteria
Morganella morganii,9917,Morganella morganii subsp. morganii,,BSL 2,False,,False,True,,Bacteria
Morganella morganii,9916,Morganella morganii subsp. morganii,,BSL 2,False,,False,True,,Bacteria
Morganella morganii,9237,Morganella morganii subsp. morganii,M685,BSL 2,True,https://genomes.atcc.org/genomes/555f9ad2c437462f,False,True,Food poisoning,Bacteria
Morganella morganii,79,Morganella morganii subsp. morganii,AMC J-33,BSL 2,True,https://genomes.atcc.org/genomes/d4a6d0bc3e164ef7,False,True,,Bacteria
Morganella morganii,8019,Morganella morganii subsp. morganii,"21 [23, NCIB 10466]",BSL 2,True,https://genomes.atcc.org/genomes/3721318940dd45e2,False,True,,Bacteria
Morganella morganii,8076c,Morganella morganii subsp. morganii,M3 [NCTC 679],BSL 2,False,,False,True,,Bacteria
Morganella morganii,8076e,Morganella morganii subsp. morganii,M6 [NCTC 1707],BSL 2,False,,False,True,Feces,Bacteria
Morganella morganii,8076b,Morganella morganii subsp. morganii,M2 [NCTC 2818],BSL 2,False,,False,True,Pine snake,Bacteria
Morganella morganii,27975,Morganella morganii subsp. morganii,CDC 11-66 SC1,BSL 2,True,https://genomes.atcc.org/genomes/e4f1180512d14393,False,True,,Bacteria
Morganella morganii,27974,Morganella morganii subsp. morganii,CDC 542-69 SC1,BSL 2,True,https://genomes.atcc.org/genomes/a1f28f6bb53c4c1d,False,True,Chimpanzee,Bacteria
Morganella morganii,29884,Morganella morganii subsp. sibonii,345-57G,BSL 2,True,https://genomes.atcc.org/genomes/20ce34fc14004362,False,True,,Bacteria
Morganella morganii,29853,Morganella morganii subsp. morganii,8,BSL 2,True,https://genomes.atcc.org/genomes/c600b187cb2c47ee,False,True,Clinical isolate,Bacteria
Morganella morganii,35200,Morganella morganii subsp. morganii,AM-15,BSL 2,True,https://genomes.atcc.org/genomes/cab1de6f77004e7c,False,True,,Bacteria
Morganella morganii,978,Morganella morganii subsp. morganii,Pirie 32,BSL 2,False,,False,False,,Bacteria
Morganella morganii,977,Morganella morganii subsp. morganii,Pirie 3938,BSL 2,False,,False,False,,Bacteria
Morganella morganii,976,Morganella morganii subsp. morganii,Pirie 44 B,BSL 2,False,,False,False,,Bacteria
