metric,bootstrap_iterations,finite_iterations,model_ci_low,model_ci_high,baseline_ci_low,baseline_ci_high,delta_model_minus_baseline,delta_ci_low,delta_ci_high,paired_bootstrap_probability_delta_le_zero,protocol,group,cohort,measurements,unique_molecules
r2,2000,2000,0.068737948792848,0.11907944847518663,-0.06265051503904502,-0.04189111862437706,0.14584980848616771,0.12227838652578779,0.16892634820445085,0.0,strain,all_groups_pooled,train_unseen,26272,8259
spearman,2000,2000,0.38992343547470576,0.42402083199421636,-0.026008242364781175,0.0004948911618536954,0.4194440789131751,0.39818594001414886,0.44147277604019114,0.0,strain,all_groups_pooled,train_unseen,26272,8259
pearson,2000,2000,0.3951069382504989,0.43075261146875754,-0.01084181224960117,0.015384350238565738,0.41032604028201164,0.38903502439393434,0.4318993226338389,0.0,strain,all_groups_pooled,train_unseen,26272,8259
