display_label,probe_cohort_fragments,probe_cohort_genomes,positive_fragments,prevalence,oof_auprc,oof_auroc,fold_auprc_mean,fold_auprc_sample_sd,fold_auroc_mean,fold_auroc_sample_sd
AMR-associated,7302,249,1217,0.16666666666666666,0.20325402298606365,0.5775033100644188,0.2068356790836881,0.008047665462330355,0.5789553981992983,0.01929527615488983
Mobile-element-associated,44730,263,8843,0.19769729488039348,0.4456268568314073,0.7414902805617244,0.45085025535869966,0.060529673219741544,0.7445490361637471,0.037142084913679554
