identity_definition,train_measurement_instances,test_measurement_instances,test_train_seen_measurement_instances,test_train_seen_fraction,test_train_unseen_measurement_instances,train_unique_molecules,test_unique_molecules,test_train_seen_unique_molecules,test_train_unseen_unique_molecules,test_pathogens,test_train_unseen_pathogens,test_train_unseen_low_mic_threshold_um,test_train_unseen_low_mic_measurement_instances,test_train_unseen_low_mic_fraction,protocol,group_index,group_name,aggregation,membership_status
dbaasp_id,1671093,85824,81652,0.9513888888888888,4172,181265,46763,43877,2886,1411,279,16.0,2288,0.548418024928092,species,-1,all_groups,fold_or_group_measurement_instances,canonical_taxonomy_cluster_adapter
model_input_token_sha256,1671093,85824,81678,0.9516918344519015,4146,180407,46602,43738,2864,1411,279,16.0,2280,0.5499276410998553,species,-1,all_groups,fold_or_group_measurement_instances,canonical_taxonomy_cluster_adapter
dbaasp_id,156513,5328,4723,0.886448948948949,605,16452,3294,3005,289,148,56,16.0,242,0.4,phylum,0,Fungi,group,canonical_taxonomy_cluster_adapter
model_input_token_sha256,156513,5328,4728,0.8873873873873874,600,16375,3288,3002,286,148,56,16.0,242,0.4033333333333333,phylum,0,Fungi,group,canonical_taxonomy_cluster_adapter
dbaasp_id,83239,44959,41474,0.9224849307146511,3485,14859,14798,12916,1882,627,173,16.0,2274,0.6525107604017216,phylum,1,Pseudomonadati,group,canonical_taxonomy_cluster_adapter
model_input_token_sha256,83239,44959,41510,0.9232856602682444,3449,14805,14723,12867,1856,627,173,16.0,2259,0.6549724557842853,phylum,1,Pseudomonadati,group,canonical_taxonomy_cluster_adapter
dbaasp_id,99421,35537,33069,0.930551256436953,2468,15391,14187,12837,1350,636,211,16.0,1291,0.523095623987034,phylum,2,Bacillati,group,canonical_taxonomy_cluster_adapter
model_input_token_sha256,99421,35537,33071,0.9306075358077497,2466,15312,14140,12791,1349,636,211,16.0,1291,0.5235198702351987,phylum,2,Bacillati,group,canonical_taxonomy_cluster_adapter
dbaasp_id,339173,85824,79266,0.923587807606264,6558,46702,32279,28758,3521,1411,440,16.0,3807,0.5805123513266239,phylum,-1,all_groups,fold_or_group_measurement_instances,canonical_taxonomy_cluster_adapter
model_input_token_sha256,339173,85824,79309,0.9240888329604773,6515,46492,32151,28660,3491,1411,440,16.0,3792,0.5820414428242517,phylum,-1,all_groups,fold_or_group_measurement_instances,canonical_taxonomy_cluster_adapter
